name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned
DPFO                    závislá činnost,58373875856.02,15. 4. 2019,2019-04-15,2019,4,15,105,DPFO závislá činnost,2019 DPFO závislá činnost,2000-04-15
DPFO                    zvláštní sazba,4661761139.32,15. 4. 2019,2019-04-15,2019,4,15,105,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-04-15
DPFO                    podávajících přiznání,9401331023.18,15. 4. 2019,2019-04-15,2019,4,15,105,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-04-15
Daň                    z hazardních her,1070091118.31,15. 4. 2019,2019-04-15,2019,4,15,105,Daň z hazardních her,2019 Daň z hazardních her,2000-04-15
Daň                    z technických her,1475540590.65,15. 4. 2019,2019-04-15,2019,4,15,105,Daň z technických her,2019 Daň z technických her,2000-04-15
DPH,135042000428.18,30. 4. 2019,2019-04-30,2019,4,30,120,DPH,2019 DPH,2000-04-30
DPPO,43970179935.07,30. 4. 2019,2019-04-30,2019,4,30,120,DPPO,2019 DPPO,2000-04-30
DPFO                    závislá činnost,63709382139.4,30. 4. 2019,2019-04-30,2019,4,30,120,DPFO závislá činnost,2019 DPFO závislá činnost,2000-04-30
DPFO                    zvláštní sazba,5503346841.24,30. 4. 2019,2019-04-30,2019,4,30,120,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-04-30
DPFO                    podávajících přiznání,-1828972808.39,30. 4. 2019,2019-04-30,2019,4,30,120,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-04-30
Daň                    z hazardních her,1988533173.31,30. 4. 2019,2019-04-30,2019,4,30,120,Daň z hazardních her,2019 Daň z hazardních her,2000-04-30
Daň                    z technických her,2701202097.47,30. 4. 2019,2019-04-30,2019,4,30,120,Daň z technických her,2019 Daň z technických her,2000-04-30
DPH,137666097895.73,15. 5. 2019,2019-05-15,2019,5,15,135,DPH,2019 DPH,2000-05-15
DPPO,44671417418.66,15. 5. 2019,2019-05-15,2019,5,15,135,DPPO,2019 DPPO,2000-05-15
DPFO                    závislá činnost,75339760886.6,15. 5. 2019,2019-05-15,2019,5,15,135,DPFO závislá činnost,2019 DPFO závislá činnost,2000-05-15
DPFO                    zvláštní sazba,6141260423.84,15. 5. 2019,2019-05-15,2019,5,15,135,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-05-15
DPFO                    podávajících přiznání,-3446562804.94,15. 5. 2019,2019-05-15,2019,5,15,135,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-05-15
Daň                    z hazardních her,1972904487.31,15. 5. 2019,2019-05-15,2019,5,15,135,Daň z hazardních her,2019 Daň z hazardních her,2000-05-15
Daň                    z technických her,2798363338.47,15. 5. 2019,2019-05-15,2019,5,15,135,Daň z technických her,2019 Daň z technických her,2000-05-15
DPH,167524392170.18,31. 5. 2019,2019-05-31,2019,5,31,151,DPH,2019 DPH,2000-05-31
DPPO,45939052224.02,31. 5. 2019,2019-05-31,2019,5,31,151,DPPO,2019 DPPO,2000-05-31
DPFO                    závislá činnost,82711882712.46,31. 5. 2019,2019-05-31,2019,5,31,151,DPFO závislá činnost,2019 DPFO závislá činnost,2000-05-31
DPFO                    zvláštní sazba,7152434632.1,31. 5. 2019,2019-05-31,2019,5,31,151,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-05-31
DPFO                    podávajících přiznání,-3269168570.38,31. 5. 2019,2019-05-31,2019,5,31,151,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-05-31
Daň                    z hazardních her,1979700207.31,31. 5. 2019,2019-05-31,2019,5,31,151,Daň z hazardních her,2019 Daň z hazardních her,2000-05-31
Daň                    z technických her,2887590001.47,31. 5. 2019,2019-05-31,2019,5,31,151,Daň z technických her,2019 Daň z technických her,2000-05-31
DPH,169328767913.18,14. 6. 2019,2019-06-14,2019,6,14,165,DPH,2019 DPH,2000-06-14
DPPO,71644747828.89,14. 6. 2019,2019-06-14,2019,6,14,165,DPPO,2019 DPPO,2000-06-14
DPFO                    závislá činnost,94076203645.61,14. 6. 2019,2019-06-14,2019,6,14,165,DPFO závislá činnost,2019 DPFO závislá činnost,2000-06-14
DPFO                    zvláštní sazba,7889602432.47,14. 6. 2019,2019-06-14,2019,6,14,165,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-06-14
DPFO                    podávajících přiznání,-735807001.05,14. 6. 2019,2019-06-14,2019,6,14,165,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-06-14
Daň                    z hazardních her,1979494122.31,14. 6. 2019,2019-06-14,2019,6,14,165,Daň z hazardních her,2019 Daň z hazardních her,2000-06-14
Daň                    z technických her,2943776187.21,14. 6. 2019,2019-06-14,2019,6,14,165,Daň z technických her,2019 Daň z technických her,2000-06-14
DPH,200149272282.86,28. 6. 2019,2019-06-28,2019,6,28,179,DPH,2019 DPH,2000-06-28
DPPO,99073755176.89,28. 6. 2019,2019-06-28,2019,6,28,179,DPPO,2019 DPPO,2000-06-28
DPFO                    závislá činnost,101781521696.36,28. 6. 2019,2019-06-28,2019,6,28,179,DPFO závislá činnost,2019 DPFO závislá činnost,2000-06-28
DPFO                    zvláštní sazba,9013332361.44,28. 6. 2019,2019-06-28,2019,6,28,179,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-06-28
DPFO                    podávajících přiznání,2014575653.76,28. 6. 2019,2019-06-28,2019,6,28,179,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-06-28
Daň                    z hazardních her,1989668867.87,28. 6. 2019,2019-06-28,2019,6,28,179,Daň z hazardních her,2019 Daň z hazardních her,2000-06-28
Daň                    z technických her,2979249995.47,28. 6. 2019,2019-06-28,2019,6,28,179,Daň z technických her,2019 Daň z technických her,2000-06-28
DPH,203968454471.1,15. 7. 2019,2019-07-15,2019,7,15,196,DPH,2019 DPH,2000-07-15
DPPO,111245783998.99,15. 7. 2019,2019-07-15,2019,7,15,196,DPPO,2019 DPPO,2000-07-15
DPFO                    závislá činnost,113409180968.63,15. 7. 2019,2019-07-15,2019,7,15,196,DPFO závislá činnost,2019 DPFO závislá činnost,2000-07-15
DPFO                    zvláštní sazba,10099325561.48,15. 7. 2019,2019-07-15,2019,7,15,196,DPFO zvláštní sazba,2019 DPFO zvláštní sazba,2000-07-15
DPFO                    podávajících přiznání,3667389298.92,15. 7. 2019,2019-07-15,2019,7,15,196,DPFO podávajících přiznání,2019 DPFO podávajících přiznání,2000-07-15
Daň                    z hazardních her,1992659649.87,15. 7. 2019,2019-07-15,2019,7,15,196,Daň z hazardních her,2019 Daň z hazardních her,2000-07-15
Daň                    z technických her,3004613872.15,15. 7. 2019,2019-07-15,2019,7,15,196,Daň z technických her,2019 Daň z technických her,2000-07-15
DPH,244017902081.71,31. 7. 2019,2019-07-31,2019,7,31,212,DPH,2019 DPH,2000-07-31
